"id","code","name"
"robertsfors-kommun","robertsfors-kommun","Robertsfors kommun"
"ronneby-kommun","ronneby-kommun","Ronneby kommun"
"rättviks-kommun","rättviks-kommun","Rättviks kommun"
"sala-kommun","sala-kommun","Sala kommun"
"salems-kommun","salems-kommun","Salems kommun"
"sandvikens-kommun","sandvikens-kommun","Sandvikens kommun"
"sigtuna-kommun","sigtuna-kommun","Sigtuna kommun"
"simrishamns-kommun","simrishamns-kommun","Simrishamns kommun"
"sjöbo-kommun","sjöbo-kommun","Sjöbo kommun"
"skara-kommun","skara-kommun","Skara kommun"
"skellefteå-kommun","skellefteå-kommun","Skellefteå kommun"
"skinnskattebergs-kommun","skinnskattebergs-kommun","Skinnskattebergs kommun"
"skurups-kommun","skurups-kommun","Skurups kommun"
"skövde-kommun","skövde-kommun","Skövde kommun"
"smedjebackens-kommun","smedjebackens-kommun","Smedjebackens kommun"
"sollefteå-kommun","sollefteå-kommun","Sollefteå kommun"
"sollentuna-kommun","sollentuna-kommun","Sollentuna kommun"
"solna-kommun","solna-kommun","Solna kommun"
"sorsele-kommun","sorsele-kommun","Sorsele kommun"
"sotenäs-kommun","sotenäs-kommun","Sotenäs kommun"
"staffanstorps-kommun","staffanstorps-kommun","Staffanstorps kommun"
"stenungsunds-kommun","stenungsunds-kommun","Stenungsunds kommun"
"stockholms-kommun","stockholms-kommun","Stockholms kommun"
"storfors-kommun","storfors-kommun","Storfors kommun"
"storumans-kommun","storumans-kommun","Storumans kommun"
"strängnäs-kommun","strängnäs-kommun","Strängnäs kommun"
"strömstads-kommun","strömstads-kommun","Strömstads kommun"
"strömsunds-kommun","strömsunds-kommun","Strömsunds kommun"
"sundbybergs-kommun","sundbybergs-kommun","Sundbybergs kommun"
"sundsvalls-kommun","sundsvalls-kommun","Sundsvalls kommun"
"sunne-kommun","sunne-kommun","Sunne kommun"
"surahammars-kommun","surahammars-kommun","Surahammars kommun"
"svalövs-kommun","svalövs-kommun","Svalövs kommun"
"svedala-kommun","svedala-kommun","Svedala kommun"
"svenljunga-kommun","svenljunga-kommun","Svenljunga kommun"
"säffle-kommun","säffle-kommun","Säffle kommun"
"säters-kommun","säters-kommun","Säters kommun"
"sävsjö-kommun","sävsjö-kommun","Sävsjö kommun"
"söderhamns-kommun","söderhamns-kommun","Söderhamns kommun"
"söderköpings-kommun","söderköpings-kommun","Söderköpings kommun"
"södertälje-kommun","södertälje-kommun","Södertälje kommun"
"sölvesborgs-kommun","sölvesborgs-kommun","Sölvesborgs kommun"
"tanums-kommun","tanums-kommun","Tanums kommun"
"tibro-kommun","tibro-kommun","Tibro kommun"
"tidaholms-kommun","tidaholms-kommun","Tidaholms kommun"
"tierps-kommun","tierps-kommun","Tierps kommun"
"timrå-kommun","timrå-kommun","Timrå kommun"
"tingsryds-kommun","tingsryds-kommun","Tingsryds kommun"
